Deck,Player,Date,Tournament,Placement,Player_Total,Score,Decklist_url,Tournament_url,Decklists
Mewtwo ex Gardevoir,Mamak,2024-12-28,Ursiiday's Pocket Weekly #9 • 400 USD Prize,1.0,1940.0,13 - 1 - 1,/tournament/676740fc33d8a809fb33d9f8/player/mamak/decklist,/tournament/676740fc33d8a809fb33d9f8/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Jynx"",""5"":""Professor's Research"",""6"":""Giovanni"",""7"":""Sabrina"",""8"":""Leaf"",""9"":""Pok\u00e9 Ball"",""10"":""Mythical Slab"",""11"":""X Speed"",""12"":""Red Card""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1-127)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Mewtwo ex Gardevoir,Viniciusmesiano,2025-01-11,Ursiiday's Pocket Weekly #11 • 400 USD Prize,2.0,1782.0,13 - 2 - 0,/tournament/6779bb0bed2c78098c6b086b/player/viniciusmesiano/decklist,/tournament/6779bb0bed2c78098c6b086b/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mew ex"",""5"":""Professor's Research"",""6"":""Sabrina"",""7"":""Leaf"",""8"":""Blue"",""9"":""Pok\u00e9 Ball"",""10"":""Mythical Slab"",""11"":""X Speed""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1a-32)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Mewtwo ex Gardevoir,pimmo,2024-12-21,$120 Pocket Champions Showdown,1.0,570.0,12 - 2 - 0,/tournament/673b2e71c4180e08eacfb221/player/pimmo/decklist,/tournament/673b2e71c4180e08eacfb221/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Jynx"",""5"":""Professor's Research"",""6"":""Sabrina"",""7"":""Leaf"",""8"":""Giovanni"",""9"":""Pok\u00e9 Ball"",""10"":""Mythical Slab"",""11"":""X Speed"",""12"":""Red Card""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1-127)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Mewtwo ex Gardevoir,lincedorado,2025-01-17,Pocket Legends League #16 (Season 1) - 50 USD,1.0,546.0,12 - 1 - 2,/tournament/6773d87bed2c78098c6a39a7/player/lincedorado/decklist,/tournament/6773d87bed2c78098c6a39a7/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""1"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mew ex"",""5"":""Mewtwo"",""6"":""Leaf"",""7"":""Professor's Research"",""8"":""Sabrina"",""9"":""Giovanni"",""10"":""Pok\u00e9 Ball"",""11"":""Mythical Slab""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1a-32)"",""5"":""(A1-128)"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Mewtwo ex Gardevoir,yunlong,2025-01-04,Ursiiday's Pocket Weekly #10 • 400 USD Prize,4.0,1995.0,11 - 2 - 1,/tournament/67708cb5ed2c78098c69d24f/player/yunlong/decklist,/tournament/67708cb5ed2c78098c69d24f/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mew ex"",""5"":""Leaf"",""6"":""Professor's Research"",""7"":""Giovanni"",""8"":""Blue"",""9"":""Mythical Slab"",""10"":""Pok\u00e9 Ball"",""11"":""Red Card""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1a-32)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Mewtwo ex Gardevoir,pain0xe1,2024-12-28,Pocket Legends League #13 (Season 1) - $50 USD,1.0,470.0,13 - 2 - 1,/tournament/676d04c086f3dba5340281a4/player/pain0xe1/decklist,/tournament/676d04c086f3dba5340281a4/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mew ex"",""5"":""Professor's Research"",""6"":""Leaf"",""7"":""Blue"",""8"":""Giovanni"",""9"":""Sabrina"",""10"":""Pok\u00e9 Ball"",""11"":""Mythical Slab""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1a-32)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Mewtwo ex Gardevoir,kinkakuj,2025-01-16,🐸FrogEX Weekly Cup #3 • 50 USD Prize🐸,1.0,470.0,12 - 2 - 0,/tournament/6780f1ed7960ec710efead5b/player/kinkakuj/decklist,/tournament/6780f1ed7960ec710efead5b/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""1"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mewtwo"",""5"":""Mew ex"",""6"":""Professor's Research"",""7"":""Leaf"",""8"":""Giovanni"",""9"":""Sabrina"",""10"":""Pok\u00e9 Ball"",""11"":""Mythical Slab""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1-128)"",""5"":""(A1a-32)"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Mewtwo ex Gardevoir,Jimboon,2025-01-18,Ursiiday's Pocket Weekly #12 • 400 USD Prize,4.0,1610.0,11 - 3 - 0,/tournament/678305977960ec710eff1898/player/jimboon/decklist,/tournament/678305977960ec710eff1898/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""1"",""9"":""2"",""10"":""2"",""11"":""1"",""12"":""1""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mew ex"",""5"":""Professor's Research"",""6"":""Sabrina"",""7"":""Leaf"",""8"":""Giovanni"",""9"":""Pok\u00e9 Ball"",""10"":""Mythical Slab"",""11"":""X Speed"",""12"":""Red Card""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1a-32)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Mewtwo ex Gardevoir,PatrickPTCGP,2024-12-29,the Dark League. Pikaverse got cancelled ;(,1.0,391.0,10 - 1 - 1,/tournament/67716c48ed2c78098c69effc/player/patrickptcgp/decklist,/tournament/67716c48ed2c78098c69effc/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""2"",""7"":""1"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""2""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mew ex"",""5"":""Professor's Research"",""6"":""Leaf"",""7"":""Giovanni"",""8"":""Sabrina"",""9"":""Blue"",""10"":""Pok\u00e9 Ball"",""11"":""Mythical Slab""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1a-32)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Mewtwo ex Gardevoir,Dazaiii,2024-12-28,Ursiiday's Pocket Weekly #9 • 400 USD Prize,5.0,1940.0,11 - 2 - 0,/tournament/676740fc33d8a809fb33d9f8/player/dazaiii/decklist,/tournament/676740fc33d8a809fb33d9f8/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""2"",""3"":""2"",""4"":""1"",""5"":""2"",""6"":""2"",""7"":""2"",""8"":""1"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Ralts"",""1"":""Kirlia"",""2"":""Gardevoir"",""3"":""Mewtwo ex"",""4"":""Mew ex"",""5"":""Professor's Research"",""6"":""Leaf"",""7"":""Blue"",""8"":""Sabrina"",""9"":""Giovanni"",""10"":""Pok\u00e9 Ball"",""11"":""Mythical Slab""},""Version"":{""0"":""(A1-130)"",""1"":""(A1-131)"",""2"":""(A1-132)"",""3"":""(A1-129)"",""4"":""(A1a-32)"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
