Deck,Player,Date,Tournament,Placement,Player_Total,Score,Decklist_url,Tournament_url,Decklists
Exeggutor ex Celebi ex,8PCheese_youtube,2025-02-08,Ursiiday's Pocket Weekly #15 • 400 USD Prize,2.0,1891.0,13 - 2 - 1,/tournament/679ebb57b795f964fdfeb99d/player/8pcheese_youtube/decklist,/tournament/679ebb57b795f964fdfeb99d/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Professor's Research"",""4"":""Sabrina"",""5"":""Erika"",""6"":""Cyrus"",""7"":""Pok\u00e9 Ball"",""8"":""Potion"",""9"":""Pok\u00e9mon Communication"",""10"":""Rocky Helmet"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Exeggutor ex Celebi ex,glione,2025-02-06,🐸FrogEX Weekly Cup #5 • 50 USD Prize🐸,1.0,760.0,13 - 1 - 0,/tournament/679bd8e4b30a7a7ad7e5e08b/player/glione/decklist,/tournament/679bd8e4b30a7a7ad7e5e08b/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Professor's Research"",""4"":""Erika"",""5"":""Sabrina"",""6"":""Cyrus"",""7"":""Pok\u00e9 Ball"",""8"":""Potion"",""9"":""Pok\u00e9mon Communication"",""10"":""Rocky Helmet"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Exeggutor ex Celebi ex,Semaforo,2025-02-20,🐸FrogEX Weekly Cup #7 • 50 USD Prize🐸,1.0,625.0,12 - 2 - 0,/tournament/67af9b4578c0b32318814bc2/player/semaforo/decklist,/tournament/67af9b4578c0b32318814bc2/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Professor's Research"",""4"":""Sabrina"",""5"":""Erika"",""6"":""Cyrus"",""7"":""Pok\u00e9 Ball"",""8"":""Potion"",""9"":""Pok\u00e9mon Communication"",""10"":""Rocky Helmet"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Exeggutor ex Celebi ex,haxxsel,2025-02-09,BEC Exeggutive Series! 5/8 1000$ USD,1.0,617.0,15 - 2 - 0,/tournament/6796bde05229b408d3cede79/player/haxxsel/decklist,/tournament/6796bde05229b408d3cede79/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""1"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""1"",""11"":""2"",""12"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Shaymin"",""4"":""Erika"",""5"":""Professor's Research"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Potion"",""9"":""Pok\u00e9 Ball"",""10"":""Pok\u00e9mon Communication"",""11"":""Rocky Helmet"",""12"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""(A2-22)"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Exeggutor ex Celebi ex,Sekkarou,2025-02-12,The Dark League Wednesday #6 100$ prize pool,1.0,600.0,12 - 3 - 0,/tournament/67a90fc205f4a8b0fc572664/player/sekkarou/decklist,/tournament/67a90fc205f4a8b0fc572664/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Professor's Research"",""4"":""Sabrina"",""5"":""Erika"",""6"":""Cyrus"",""7"":""Pok\u00e9 Ball"",""8"":""Potion"",""9"":""Pok\u00e9mon Communication"",""10"":""Giant Cape"",""11"":""Rocky Helmet""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Exeggutor ex Celebi ex,DDaviSS,2025-02-16,BEC Exeggutive Series! 6/8 1000$ USD,1.0,532.0,15 - 2 - 0,/tournament/67a0049d3b814c326f9704be/player/ddaviss/decklist,/tournament/67a0049d3b814c326f9704be/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Professor's Research"",""4"":""Sabrina"",""5"":""Erika"",""6"":""Cyrus"",""7"":""Leaf"",""8"":""Pok\u00e9 Ball"",""9"":""Potion"",""10"":""Rocky Helmet"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Exeggutor ex Celebi ex,Preluxe,2025-02-16,Pocket Parti Cup - $100 Prizepool,1.0,504.0,11 - 1 - 0,/tournament/6789be47010576265d10fd54/player/preluxe/decklist,/tournament/6789be47010576265d10fd54/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Professor's Research"",""4"":""Erika"",""5"":""Sabrina"",""6"":""Cyrus"",""7"":""Pok\u00e9 Ball"",""8"":""Potion"",""9"":""Pok\u00e9mon Communication"",""10"":""Rocky Helmet"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Exeggutor ex Celebi ex,FrogEX | Arca,2025-02-23,140$ Prize PGR Space-Time Live! Code on Discord,1.0,435.0,11 - 1 - 0,/tournament/678655be999616eb3739c861/player/arcaninosshiny/decklist,/tournament/678655be999616eb3739c861/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""1"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""1"",""11"":""2"",""12"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Erika"",""4"":""Professor's Research"",""5"":""Cyrus"",""6"":""Mars"",""7"":""Sabrina"",""8"":""Pok\u00e9 Ball"",""9"":""Potion"",""10"":""Pok\u00e9mon Communication"",""11"":""Giant Cape"",""12"":""Rocky Helmet""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA"",""12"":""NA""}}"
Exeggutor ex Celebi ex,himokyu,2025-02-14,Pocket Legends League #18 (Season 2) - 50 USD,1.0,430.0,12 - 2 - 1,/tournament/67a01d16f1a83f7924eb5a44/player/himokyu/decklist,/tournament/67a01d16f1a83f7924eb5a44/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""1"",""8"":""2"",""9"":""2"",""10"":""1"",""11"":""2""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Professor's Research"",""4"":""Erika"",""5"":""Sabrina"",""6"":""Cyrus"",""7"":""Blue"",""8"":""Pok\u00e9 Ball"",""9"":""Potion"",""10"":""Pok\u00e9mon Communication"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
Exeggutor ex Celebi ex,AleHV,2025-02-15,Ursiiday's Pocket Weekly #16 • 400 USD Prize,4.0,1651.0,12 - 2 - 1,/tournament/67a7eb610086ca7747c7d5c4/player/alehv/decklist,/tournament/67a7eb610086ca7747c7d5c4/details,"{""Amount"":{""0"":""2"",""1"":""2"",""2"":""1"",""3"":""2"",""4"":""2"",""5"":""2"",""6"":""1"",""7"":""2"",""8"":""2"",""9"":""1"",""10"":""2"",""11"":""1""},""Card"":{""0"":""Exeggcute"",""1"":""Exeggutor ex"",""2"":""Celebi ex"",""3"":""Erika"",""4"":""Sabrina"",""5"":""Professor's Research"",""6"":""Cyrus"",""7"":""Potion"",""8"":""Pok\u00e9 Ball"",""9"":""Pok\u00e9mon Communication"",""10"":""Rocky Helmet"",""11"":""Giant Cape""},""Version"":{""0"":""(A1-21)"",""1"":""(A1-23)"",""2"":""(A1a-3)"",""3"":""NA"",""4"":""NA"",""5"":""NA"",""6"":""NA"",""7"":""NA"",""8"":""NA"",""9"":""NA"",""10"":""NA"",""11"":""NA""}}"
